Name,Date,Open,Close,Change
MMM,8/25/2012,,,closed
MMM,8/27/2012,92.92,92.59,-0.36%
MMM,8/28/2012,92.36,92.3,-0.06%
MMM,8/29/2012,92.5,92.43,-0.08%
MMM,8/31/2012,92.44,92.6,0.17%
MMM,8/28/2012,92.36,92.3,-0.06%
MMM,8/28/2012,92.36,92.3,-0.06%
MMM,8/30/2012,92.05,91.76,-0.32%
MMM,8/31/2012,92.44,92.6,0.17%
MMM,8/27/2012,92.92,92.59,-0.36%
MMM,8/28/2012,92.36,92.3,-0.06%
MMM,8/31/2012,92.44,92.6,0.17%
MMM,8/26/2012,,,closed
MMM,8/28/2012,92.36,92.3,-0.06%
MMM,8/31/2012,92.44,92.6,0.17%
MMM,9/1/2012,,,closed
MMM,9/4/2012,92.03,91.68,-0.38%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/4/2012,92.03,91.68,-0.38%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/4/2012,92.03,91.68,-0.38%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/4/2012,92.03,91.68,-0.38%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/4/2012,92.03,91.68,-0.38%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/6/2012,92.37,93.28,0.99%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/6/2012,92.37,93.28,0.99%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/6/2012,92.37,93.28,0.99%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/5/2012,91.92,91.75,-0.18%
MMM,9/6/2012,92.37,93.28,0.99%
MMM,9/6/2012,92.37,93.28,0.99%
MMM,9/7/2012,93.38,92.82,-0.60%
MMM,9/8/2012,,,closed
MMM,9/10/2012,92.27,90.67,-1.73%
MMM,9/11/2012,90.73,91.17,0.48%
MMM,9/12/2012,91.6,90.81,-0.86%
MMM,9/12/2012,91.6,90.81,-0.86%
MMM,9/13/2012,90.92,92.06,1.25%
MMM,9/14/2012,92.86,93.98,1.21%
MMM,9/15/2012,,,closed
MMM,9/18/2012,93.78,93.43,-0.37%
MMM,9/19/2012,92.88,93.63,0.81%
MMM,9/21/2012,94.06,93.21,-0.90%
MMM,9/20/2012,93.2,93.58,0.41%
MMM,9/21/2012,94.06,93.21,-0.90%
MMM,9/24/2012,92.85,93.73,0.95%
MMM,9/25/2012,93.95,92.83,-1.19%
MMM,9/25/2012,93.95,92.83,-1.19%
MMM,9/26/2012,92.88,92.59,-0.31%
MMM,9/27/2012,92.89,92.82,-0.08%
MMM,9/27/2012,92.89,92.82,-0.08%
MMM,9/28/2012,92.47,92.42,-0.05%
MMM,9/29/2012,,,closed
MMM,9/29/2012,,,closed
MMM,10/2/2012,94.23,93.54,-0.73%
MMM,10/2/2012,94.23,93.54,-0.73%
MMM,9/29/2012,,,closed
MMM,10/1/2012,92.9,93.29,0.42%
MMM,10/2/2012,94.23,93.54,-0.73%
MMM,10/2/2012,94.23,93.54,-0.73%
MMM,10/1/2012,92.9,93.29,0.42%
MMM,10/3/2012,93.81,93.78,-0.03%
MMM,10/2/2012,94.23,93.54,-0.73%
MMM,10/2/2012,94.23,93.54,-0.73%
MMM,10/4/2012,94.05,94.43,0.40%
MMM,10/3/2012,93.81,93.78,-0.03%
MMM,10/3/2012,93.81,93.78,-0.03%
MMM,10/4/2012,94.05,94.43,0.40%
MMM,10/3/2012,93.81,93.78,-0.03%
MMM,10/3/2012,93.81,93.78,-0.03%
MMM,10/4/2012,94.05,94.43,0.40%
MMM,10/3/2012,93.81,93.78,-0.03%
MMM,10/4/2012,94.05,94.43,0.40%
MMM,10/3/2012,93.81,93.78,-0.03%
MMM,10/4/2012,94.05,94.43,0.40%
MMM,10/4/2012,94.05,94.43,0.40%
MMM,10/5/2012,94.74,94.96,0.23%
MMM,10/4/2012,94.05,94.43,0.40%
MMM,10/5/2012,94.74,94.96,0.23%
MMM,10/6/2012,,,closed
MMM,10/7/2012,,,closed
MMM,10/8/2012,94.55,95.37,0.87%
MMM,10/9/2012,95.29,93.94,-1.42%
MMM,10/9/2012,95.29,93.94,-1.42%
MMM,10/10/2012,93.95,93.28,-0.71%
MMM,10/12/2012,92.95,92.75,-0.22%
MMM,10/11/2012,93.86,92.83,-1.10%
MMM,10/13/2012,,,closed
MMM,10/12/2012,92.95,92.75,-0.22%
MMM,10/12/2012,92.95,92.75,-0.22%
MMM,10/13/2012,,,closed
MMM,10/14/2012,,,closed
MMM,10/15/2012,92.71,92.79,0.09%
MMM,10/16/2012,94.02,94.23,0.22%
MMM,10/17/2012,94.94,94.81,-0.14%
MMM,10/18/2012,94.68,94.74,0.06%
MMM,10/18/2012,94.68,94.74,0.06%
MMM,10/20/2012,,,closed
MMM,10/19/2012,94.61,92.94,-1.77%
MMM,10/22/2012,92.41,92.53,0.13%
MMM,10/23/2012,89.67,88.73,-1.05%
MMM,10/24/2012,89.03,88.39,-0.72%
MMM,10/25/2012,88.57,87.81,-0.86%
MMM,10/25/2012,88.57,87.81,-0.86%
MMM,10/25/2012,88.57,87.81,-0.86%
MMM,10/26/2012,87.9,88.03,0.15%
MMM,10/27/2012,,,closed
MMM,10/28/2012,,,closed
MMM,10/28/2012,,,closed
MMM,10/28/2012,,,closed
MMM,10/28/2012,,,closed
MMM,10/29/2012,,,closed
MMM,10/28/2012,,,closed
MMM,10/28/2012,,,closed
MMM,10/29/2012,,,closed
MMM,10/28/2012,,,closed
MMM,10/28/2012,,,closed
MMM,10/29/2012,,,closed
MMM,11/6/2012,89.95,90.86,1.01%
MMM,11/8/2012,89.11,88.55,-0.63%
MMM,11/8/2012,89.11,88.55,-0.63%
MMM,11/6/2012,89.95,90.86,1.01%
MMM,11/6/2012,89.95,90.86,1.01%
MMM,11/6/2012,89.95,90.86,1.01%
MMM,11/9/2012,88.6,88.81,0.24%
MMM,11/9/2012,88.6,88.81,0.24%
MMM,11/9/2012,88.6,88.81,0.24%
MMM,11/9/2012,88.6,88.81,0.24%
MMM,11/13/2012,88.6,89.08,0.54%
MMM,11/13/2012,88.6,89.08,0.54%
MMM,11/13/2012,88.6,89.08,0.54%
MMM,11/15/2012,86.74,88.02,1.48%
MMM,11/16/2012,88.12,88.5,0.43%
MMM,11/17/2012,,,closed
MMM,11/19/2012,89.25,89.57,0.36%
MMM,11/20/2012,89.08,89.02,-0.07%
MMM,11/21/2012,89.08,88.94,-0.16%
MMM,11/22/2012,,,closed
MMM,11/26/2012,89.54,90.09,0.61%
MMM,11/27/2012,90.19,90.31,0.13%
MMM,11/27/2012,90.19,90.31,0.13%
MMM,11/29/2012,91.35,90.65,-0.77%
MMM,11/28/2012,90.1,90.93,0.92%
MMM,11/28/2012,90.1,90.93,0.92%
MMM,11/30/2012,90.68,90.95,0.30%
MMM,11/30/2012,90.68,90.95,0.30%
MMM,11/29/2012,91.35,90.65,-0.77%
MMM,11/30/2012,90.68,90.95,0.30%
MMM,12/2/2012,,,closed
MMM,12/3/2012,91.41,90.3,-1.21%
MMM,12/4/2012,90.31,90.12,-0.21%
MMM,12/3/2012,91.41,90.3,-1.21%
MMM,12/3/2012,91.41,90.3,-1.21%
MMM,12/3/2012,91.41,90.3,-1.21%
MMM,12/3/2012,91.41,90.3,-1.21%
MMM,12/5/2012,90.3,90.76,0.51%
MMM,12/5/2012,90.3,90.76,0.51%
MMM,12/5/2012,90.3,90.76,0.51%
MMM,12/4/2012,90.31,90.12,-0.21%
MMM,12/5/2012,90.3,90.76,0.51%
MMM,12/5/2012,90.3,90.76,0.51%
MMM,12/4/2012,90.31,90.12,-0.21%
MMM,12/4/2012,90.31,90.12,-0.21%
MMM,12/5/2012,90.3,90.76,0.51%
MMM,12/4/2012,90.31,90.12,-0.21%
MMM,12/6/2012,90.8,90.95,0.17%
MMM,12/5/2012,90.3,90.76,0.51%
MMM,12/6/2012,90.8,90.95,0.17%
MMM,12/8/2012,,,closed
